,tweet_id,tweet_text,clean_text
15,1203532716190289920,I checked in at Lotus of Siam on #Yelp https://t.co/J0YXZ3YqrX,I checked in at Lotus of Siam on #Yelp 
16,1203544731738763264,Bro I be looking out for @jakexbarnes  79.99 a bargain my nigga spent more at the bacchanal buffet smh ??,Bro I be looking out for   79.99 a bargain my nigga spent more at the bacchanal buffet smh ??
17,1203551358038794240,How do I get me one of them @jinyaramenbar pullover hoodies???,How do I get me one of them  pullover hoodies???
18,1203587278037307392,"Cop: oh what to-go do you have there? It smells good
Me: @jinyaramenbar
Cop: ok well I’m giving you a verbal warning tonight 
Me: thank you, you should try JINYA
Cop: next time we’ll go together 
?","Cop: oh what to-go do you have there? It smells good
Me: 
Cop: ok well I’m giving you a verbal warning tonight 
Me: thank you, you should try JINYA
Cop: next time we’ll go together 
?"
19,1203670527635648512,@LVCabChronicles @VitalVegas Fee = extortion. State legislatures need to clamp down on these companies that charge people “fees”  like Lotus of Siam,  Fee = extortion. State legislatures need to clamp down on these companies that charge people “fees”  like Lotus of Siam
20,1203722201389654016,Bacchanal buffet at Caesar's Hotel. Eating like a princess ? https://t.co/dVgVCoDOVv,Bacchanal buffet at Caesar's Hotel. Eating like a princess ? 
21,1203761215845142536,Apparently you haven’t been to the Bacchanal Buffet at Ceasars. https://t.co/sfpyl4lpRr,Apparently you haven’t been to the Bacchanal Buffet at Ceasars. 
22,1203764151627051009,I checked in at Bacchanal Buffet on #Yelp https://t.co/wD4eXAn36C,I checked in at Bacchanal Buffet on #Yelp 
23,1203789524695945222,RT @JoeKarlsson1: I have an big announcement. I went to Guy Fieri's restaurant in Las Vegas and I got a turkey burger with Donkey Sauce and…,RT : I have an big announcement. I went to Guy Fieri's restaurant in Las Vegas and I got a turkey burger with Donkey Sauce and…
24,1203808066711498752,I'm at @jinyaramenbar my favorite place to eat in the DMV ? https://t.co/0kS0c9FkxF,I'm at  my favorite place to eat in the DMV ? 
25,1203811135545335808,@Sayco_DMV @jinyaramenbar where is that?? MD?,  where is that?? MD?
26,1203811777915559936,@p11625 @jinyaramenbar Yeah,  Yeah
27,1203814265532096512,"@MMAdamMartin Hoover Dam and Fremont Street and the High Roller are really cool. If you’re looking for a spot to eat the Bacchanal buffet at Caesars palace is good too. Tacos El Gordo is fantastic as well. Grand Canyon is a long trip but worth it, enjoy!"," Hoover Dam and Fremont Street and the High Roller are really cool. If you’re looking for a spot to eat the Bacchanal buffet at Caesars palace is good too. Tacos El Gordo is fantastic as well. Grand Canyon is a long trip but worth it, enjoy!"
28,1203827438050070533,@CityofAtlanta when will there be an intown @jinyaramenbar location??? don't nobody wanna hike it up to suckhead for some ramen ):, when will there be an intown  location??? don't nobody wanna hike it up to suckhead for some ramen ):
29,1203834366889267201,"@_Dlilah1213 I went to JINYA ramen bar and got the spicy chicken ramen and you pick the toppings,I got the chicken wonton,egg,dried seaweed,mushrooms and fried https://t.co/Kj7mByqTQB was sooo good and it isn’t spicy so you can get the hot one trust it’s ?"," I went to JINYA ramen bar and got the spicy chicken ramen and you pick the toppings,I got the chicken wonton,egg,dried seaweed,mushrooms and fried  was sooo good and it isn’t spicy so you can get the hot one trust it’s ?"
30,1203835648660180993,"RT @Whyyouhoeing: @_Dlilah1213 I went to JINYA ramen bar and got the spicy chicken ramen and you pick the toppings,I got the chicken wonton…","RT :  I went to JINYA ramen bar and got the spicy chicken ramen and you pick the toppings,I got the chicken wonton…"
31,1203871160712216576,@amcrlsn Lol I was only there for Midyear 09. Love so many cities but Vegas didn’t impress me tbh. Lmk if u find anything worth making it back for. Fwiw @MabelsBBQlv is some of the best bbq to be had (from CLE!) &amp; I’ve heard such good things I might return just for @LotusOfSiam #riesling, Lol I was only there for Midyear 09. Love so many cities but Vegas didn’t impress me tbh. Lmk if u find anything worth making it back for. Fwiw  is some of the best bbq to be had (from CLE!) &amp; I’ve heard such good things I might return just for  #riesling
32,1203931686670454784,@dRxuggist @MabelsBBQlv @LotusOfSiam I’m kinda in the same boat but enjoying every minute because of the people I’m with!,   I’m kinda in the same boat but enjoying every minute because of the people I’m with!
33,1204079027025334272,I would have told you to skip Vietnamese and go Thai and head to Lotus of Siam.  Also... @ me next time bro. ;-) https://t.co/JLxRKIs7Jc,I would have told you to skip Vietnamese and go Thai and head to Lotus of Siam.  Also... @ me next time bro. ;-) 
34,1204080332028481537,RT @intheDC: I would have told you to skip Vietnamese and go Thai and head to Lotus of Siam.  Also... @ me next time bro. ;-) https://t.co/…,RT : I would have told you to skip Vietnamese and go Thai and head to Lotus of Siam.  Also... @ me next time bro. ;-) https://t.co/…
35,1204109247547674624,Caesars Palace Bacchanal Buffet Las Vegas - Eat What You Like! https://t.co/ao1o9m9MO5 via @YouTube,Caesars Palace Bacchanal Buffet Las Vegas - Eat What You Like!  via 
36,1204119374631768064,"I'm at Jinya Ramen Bar in Vancouver, British Columbia https://t.co/RHM2JBymWd","I'm at Jinya Ramen Bar in Vancouver, British Columbia "
37,1204166515311800320,I want the Aria buffet I’m bout to bust this Vegas trip Fck it!?????,I want the Aria buffet I’m bout to bust this Vegas trip Fck it!?????
38,1204166621956206592,"Delicious meal @LotusOfSiam. Nua Nam Tok, Rad Na, and Northern Larb. https://t.co/NYdLWpZssB","Delicious meal . Nua Nam Tok, Rad Na, and Northern Larb. "
39,1204184575217303552,RT @JoeKarlsson1: I have an big announcement. I went to Guy Fieri's restaurant in Las Vegas and I got a turkey burger with Donkey Sauce and…,RT : I have an big announcement. I went to Guy Fieri's restaurant in Las Vegas and I got a turkey burger with Donkey Sauce and…
40,1204204155067404288,Lotus of Siam gets closer to having two Las Vegas locations. https://t.co/beq4imGJM3 https://t.co/vPkBnNf0x6,Lotus of Siam gets closer to having two Las Vegas locations.  
41,1204219162471673861,@Rae_Cosmos Y#oure fucking with me and i dont appreciate it there are fucking voice clips of gordon ramsay talking about how fish and chips are a staple chip begone brit, Y#oure fucking with me and i dont appreciate it there are fucking voice clips of gordon ramsay talking about how fish and chips are a staple chip begone brit
42,1204240392951980032,@jinyaramenbar seasoned egg is the only thing that matters, seasoned egg is the only thing that matters
43,1204259864454680576,"This ramen is the perfect meal for the fall weather! ??

?: @jinyaramenbar #studiocity #fallsoup #chillyweather #ramen #jinya #ramensoup #LOBSTER ? https://t.co/KZb13aDKNt","This ramen is the perfect meal for the fall weather! ??

?:  #studiocity #fallsoup #chillyweather #ramen #jinya #ramensoup #LOBSTER ? "
44,1204419061498568704,"@WolfOfWeedST @MGMGrand Are you at a conference or something because the MGM has a nice $30+  buffet. Flavors it’s called.  Yep that is peasant for $50. ?.   Get you a nice lunch. So many great buffets in Vegas.  Aria, is great and the Baccinal at Caesar’s Palace are good.  ?       Plastic!  ?","  Are you at a conference or something because the MGM has a nice $30+  buffet. Flavors it’s called.  Yep that is peasant for $50. ?.   Get you a nice lunch. So many great buffets in Vegas.  Aria, is great and the Baccinal at Caesar’s Palace are good.  ?       Plastic!  ?"
45,1204423037531111429,"Jinya Ramen Bar Lands at Alpharetta City Center This Monday
https://t.co/fQBokq96zh","Jinya Ramen Bar Lands at Alpharetta City Center This Monday
"
46,1204445802556510209,Best friend chicken @jinyaramenbar https://t.co/JVpKXwIrd2,Best friend chicken  
47,1204469715327954948,@forevermary21 Jinya Ramen Bar Atlanta|Buckhead is the ? bomb!, Jinya Ramen Bar Atlanta|Buckhead is the ? bomb!
48,1204489041435090945,@nitecon @jinyaramenbar Yo hit up lemongrass at Aria!!!  Their Curry is out of this world!,  Yo hit up lemongrass at Aria!!!  Their Curry is out of this world!
49,1204513260030103557,"back at @jinyaramenbar~
today’s cocktail: the dragon whisperer. ???
#onbrand https://t.co/yqhiVpCWsj","back at ~
today’s cocktail: the dragon whisperer. ???
#onbrand "
50,1204513954606854144,"@Pennys4Vegas @buffetprincess @MGMGrand @AriaLV @Cosmopolitan_LV @WynnLasVegas @TheMirageLV I bagged the wynn buffet, you will be proud! Also got an Aria one from Myvegas","       I bagged the wynn buffet, you will be proud! Also got an Aria one from Myvegas"
51,1204535324476657665,"I'm at The Magic Noodle in Las Vegas, NV https://t.co/UoUWdax4Mh","I'm at The Magic Noodle in Las Vegas, NV "
52,1204554829315608576,"Went to @jinyaramenbar for the first time and had the Flying Vegan Harvest. It was amazing! I ate, I slurped, I dove in, I bathed in it, and, at the end, wore the bowl as a hat. #WhatsYourSlurpGame. https://t.co/T28WvOOxzH","Went to  for the first time and had the Flying Vegan Harvest. It was amazing! I ate, I slurped, I dove in, I bathed in it, and, at the end, wore the bowl as a hat. #WhatsYourSlurpGame. "
53,1204564759254884353,Great lunch in our neighborhood on 19th street in the Houston Heights!  JINYA Ramen Bar has a great selection of food and drinks for everyone. @jinyaramenbar https://t.co/5ufWe7X0nW https://t.co/ZmnYfrX5Zx,Great lunch in our neighborhood on 19th street in the Houston Heights!  JINYA Ramen Bar has a great selection of food and drinks for everyone.   
54,1204574099256872962,Lotus of Siam gets closer to having two Las Vegas locations. https://t.co/beq4imGJM3 https://t.co/eEtM1LCcDM,Lotus of Siam gets closer to having two Las Vegas locations.  
55,1204579339154706433,"@MVPenergy @shadybrady224 @ZenasPoker @ToddBrunson @RunAcesPoker @ChancesCards @FadedSpadeCards @cardplayerlife @POKERN8OR @SavagePoker @BellagioPoker Yeah I’ll give you some advice:

1). See a show.  I’d recommend Absinthe
2). Go off strip for dinner.  Lotus of Siam is killer
3). The Wynn has nicest poker room
4). For a late night drunk feast go to Hash House a Go Go
5).  Favorite steakhouse is #BLTsteak at Bally’s.","           Yeah I’ll give you some advice:

1). See a show.  I’d recommend Absinthe
2). Go off strip for dinner.  Lotus of Siam is killer
3). The Wynn has nicest poker room
4). For a late night drunk feast go to Hash House a Go Go
5).  Favorite steakhouse is #BLTsteak at Bally’s."
56,1204586204206968833,"I'm at Jinya Ramen Bar in Houston, TX https://t.co/2DnYxRTGbA","I'm at Jinya Ramen Bar in Houston, TX "
57,1204587750307049472,@El33tsamurai @jinyaramenbar Wish I was still there :(,  Wish I was still there :(
58,1204588876276338688,@El33tsamurai @jinyaramenbar I also just realized my phone corrected best fried -&gt; best friend haha.,  I also just realized my phone corrected best fried -&gt; best friend haha.
59,1204600949140021248,You can get this limited edition ramen at @jinyaramenbar now. https://t.co/kF7aoncYYz,You can get this limited edition ramen at  now. 
60,1204731312197767169,"Jinya Ramen Bar Lands at Alpharetta City Center This Monday
https://t.co/fQBokq96zh","Jinya Ramen Bar Lands at Alpharetta City Center This Monday
"
61,1204823374599532544,@jinyaramenbar I would really appreciate if the Atlanta Roswell road location would bring back the tangy shrimp cilantro bowl soon, I would really appreciate if the Atlanta Roswell road location would bring back the tangy shrimp cilantro bowl soon
62,1204841163682803712,I checked in at Bacchanal Buffet on #Yelp https://t.co/Ci7In7Zvn4,I checked in at Bacchanal Buffet on #Yelp 
63,1204844350569467904,Post moderator lunch break..lotus of Siam...nom nom nom #ASHP19 https://t.co/EbrWbG5ISJ,Post moderator lunch break..lotus of Siam...nom nom nom #ASHP19 
64,1204845292727595008,"Sold a basketball card on eBay to someone from the same zip code as me. Turns out he’s the head chef at the Aria buffet and I’m now eating like a king for free ??????

Gotta love how hobbies can connect people who otherwise never would!","Sold a basketball card on eBay to someone from the same zip code as me. Turns out he’s the head chef at the Aria buffet and I’m now eating like a king for free ??????

Gotta love how hobbies can connect people who otherwise never would!"
65,1204868920479567874,"People who’ve gone to Las Vegas have you or do you know anybody that stayed at any of these hotels?

Caesar’s palace
Paris Las Vegas
Luxor Hotel
The Mirage hotel and casino

If so, what are the pros and cons?","People who’ve gone to Las Vegas have you or do you know anybody that stayed at any of these hotels?

Caesar’s palace
Paris Las Vegas
Luxor Hotel
The Mirage hotel and casino

If so, what are the pros and cons?"
66,1204873912716156929,"When in Las Vegas, one of my favorite stops is always for  some authentic Dim Sum at Yum Cha. It’s so delicious :) https://t.co/wlw07hYQDO","When in Las Vegas, one of my favorite stops is always for  some authentic Dim Sum at Yum Cha. It’s so delicious :) "
67,1204913774265696256,I checked in at Bacchanal Buffet on #Yelp https://t.co/mUlxT60bLQ,I checked in at Bacchanal Buffet on #Yelp 
68,1204919732740079616,"Excellent/Important question, Kenneth. Vegas has multiple incredible Thai spots. Personal favorites - Nittayas Secret Kitchen &amp; Lotus of Siam. Block 9 &amp; Archis for quick and casual. And Krung Thai if you enjoy karaoke with your meal and want to hear the owners voice of an angel. https://t.co/CWSY7vWGx3","Excellent/Important question, Kenneth. Vegas has multiple incredible Thai spots. Personal favorites - Nittayas Secret Kitchen &amp; Lotus of Siam. Block 9 &amp; Archis for quick and casual. And Krung Thai if you enjoy karaoke with your meal and want to hear the owners voice of an angel. "
69,1204921848162476032,@MeganOlivi I love Lotus of Siam ?, I love Lotus of Siam ?
70,1204921891657412608,"RT @MeganOlivi: Excellent/Important question, Kenneth. Vegas has multiple incredible Thai spots. Personal favorites - Nittayas Secret Kitch…","RT : Excellent/Important question, Kenneth. Vegas has multiple incredible Thai spots. Personal favorites - Nittayas Secret Kitch…"
71,1204922644694360065,Yelp event (@ JINYA Ramen Bar) on #Yelp https://t.co/IevOkDCJ9p,Yelp event (@ JINYA Ramen Bar) on #Yelp 
72,1204923008940421120,"RT @MeganOlivi: Excellent/Important question, Kenneth. Vegas has multiple incredible Thai spots. Personal favorites - Nittayas Secret Kitch…","RT : Excellent/Important question, Kenneth. Vegas has multiple incredible Thai spots. Personal favorites - Nittayas Secret Kitch…"
73,1204925773263593472,@MeganOlivi Lotus of Siam is the best, Lotus of Siam is the best
74,1204936160788615169,I checked in at JINYA Ramen Bar on #Yelp https://t.co/pj7Hvkpu7L,I checked in at JINYA Ramen Bar on #Yelp 
75,1204938523628818432,@our_nextlife @northernexpense @picksuppennies Lotus of Siam is a wonderful Thai restaurant and is pretty reasonably priced. Not on Strip though.,   Lotus of Siam is a wonderful Thai restaurant and is pretty reasonably priced. Not on Strip though.
76,1204952453143310336,"At @jinyaramenbar for the 6,752nd time","At  for the 6,752nd time"
77,1204955017427521546,"@kenhuiny @stu I love taking people off strip.  What? There’s a Chinatown in Vegas? 

The old Lotus of Siam location was the best. Howard, are you trying to get us killed?","  I love taking people off strip.  What? There’s a Chinatown in Vegas? 

The old Lotus of Siam location was the best. Howard, are you trying to get us killed?"
78,1205018349396283392,Drinking an Atomic Duck by @Atomicduck at @lotusofsiam — https://t.co/z4I9nY0QFN,Drinking an Atomic Duck by  at  — 
79,1205156230722998272,RT @jennorem: @RobertIrvine Do you think it would go good with Red Snapper??,RT :  Do you think it would go good with Red Snapper??
80,1205156236724965378,RT @RobertIrvine: Here's a new halibut recipe to try! Let me know what you think. https://t.co/5GZnRXMwm8,RT : Here's a new halibut recipe to try! Let me know what you think. 
81,1205156257847554048,RT @RobertIrvine: Yes Jennifer it will go with any fish well https://t.co/Z37HiJssMW,RT : Yes Jennifer it will go with any fish well 
82,1205157430704758785,sethgodin recommended this restaurant in Vegas. Great Recommendation! #lotusofsiamlasvegas #greatrestaurant @ Lotus of Siam https://t.co/tuGS59KN7w,sethgodin recommended this restaurant in Vegas. Great Recommendation! #lotusofsiamlasvegas #greatrestaurant @ Lotus of Siam 
83,1205158095116070912,sethgodin recommended this restaurant in Vegas. Great recommendation! #lotusofsiamlasvegas #greatrestaurant @ Lotus of Siam https://t.co/GYjGurqNXP,sethgodin recommended this restaurant in Vegas. Great recommendation! #lotusofsiamlasvegas #greatrestaurant @ Lotus of Siam 
84,1205158852339150850,@RobertIrvine You know you can cook! Im gonna try this one?, You know you can cook! Im gonna try this one?
85,1205158889777438721,RT @RobertIrvine: Here's a new halibut recipe to try! Let me know what you think. https://t.co/5GZnRXMwm8,RT : Here's a new halibut recipe to try! Let me know what you think. 
86,1205160186475896833,@RobertIrvine Thank you!! Merry Christmas!???, Thank you!! Merry Christmas!???
87,1205161254525915136,@RobertIrvine @Rest_Imposs @FoodNetwork You have said this many - many times on RI - takes me back to the Albuquerque Sports Plex cafe and bar! ?,   You have said this many - many times on RI - takes me back to the Albuquerque Sports Plex cafe and bar! ?
88,1205161736472612865,"@RobertIrvine Can’t afford, but love Halibut. May try with cod or haddock"," Can’t afford, but love Halibut. May try with cod or haddock"
89,1205163473694609408,RT @RobertIrvine: Two weeks until the season 16 premiere of @Rest_Imposs on @FoodNetwork #RestaurantImpossible https://t.co/x4Jq0sEnh4,RT : Two weeks until the season 16 premiere of  on  #RestaurantImpossible 
90,1205164729343381505,RT @RobertIrvine: Here's a new halibut recipe to try! Let me know what you think. https://t.co/5GZnRXMwm8,RT : Here's a new halibut recipe to try! Let me know what you think. 
91,1205169636003733504,@RobertIrvine didn't want to disturb you on the RDU-DCA flight but seriously what are the odds... https://t.co/IFcl14VF66, didn't want to disturb you on the RDU-DCA flight but seriously what are the odds... 
92,1205174643025465345,"I'm at @JINYARamenBar in Washington, DC https://t.co/PDABm9sLbG","I'm at  in Washington, DC "
93,1205190255634194439,@RobertIrvine Happy holidays! Great snack!, Happy holidays! Great snack!
94,1205192093414699011,@scottlincicome @RobertIrvine Those things are delicious! Morning must-haves.,  Those things are delicious! Morning must-haves.
95,1205194634714112001,@RobertIrvine Yes Chef, Yes Chef
96,1205199497590136835,RT @RobertIrvine: Two weeks until the season 16 premiere of @Rest_Imposs on @FoodNetwork #RestaurantImpossible https://t.co/x4Jq0sEnh4,RT : Two weeks until the season 16 premiere of  on  #RestaurantImpossible 
97,1205199636417449985,"@RobertIrvine 8 years ago today?? 

Miss it! https://t.co/GMxgc6B2nv"," 8 years ago today?? 

Miss it! "
98,1205200146801319938,@RobertIrvine @FitCrunchBars Chocolate Peanut Butter but I prefer the smaller bar over the full-size bar.  It's just enough for mel,  Chocolate Peanut Butter but I prefer the smaller bar over the full-size bar.  It's just enough for mel
99,1205201654368395264,RT @RobertIrvine: Two weeks until the season 16 premiere of @Rest_Imposs on @FoodNetwork #RestaurantImpossible https://t.co/x4Jq0sEnh4,RT : Two weeks until the season 16 premiere of  on  #RestaurantImpossible 
100,1205207466277031936,@FelisTrevino Damn @jinyaramenbar y’all just turning us away like that??, Damn  y’all just turning us away like that??
101,1205207642844651520,@ThatGuyStretch @jinyaramenbar But really. A party of 15. That’s money for them.,  But really. A party of 15. That’s money for them.
102,1205207722121191425,@ThatGuyStretch @jinyaramenbar If anything we’ll go across the street.,  If anything we’ll go across the street.
103,1205211086305267718,@ItzYoGirlSheyy @ThatGuyStretch @jinyaramenbar Exactly why I’m getting there an hour before everyone else,   Exactly why I’m getting there an hour before everyone else
104,1205212158163922945,@FelisTrevino @ItzYoGirlSheyy @jinyaramenbar They won’t even let you make a reservation like that either. Everyone has to be there at the same time.,   They won’t even let you make a reservation like that either. Everyone has to be there at the same time.
105,1205212281937772545,@ThatGuyStretch @ItzYoGirlSheyy @jinyaramenbar Are you fucking kidding me?,   Are you fucking kidding me?
106,1205212442382471169,@FelisTrevino @ItzYoGirlSheyy @jinyaramenbar I swear. Even for a party of 5.,   I swear. Even for a party of 5.
107,1205214299871940611,RT @RobertIrvine: Two weeks until the season 16 premiere of @Rest_Imposs on @FoodNetwork #RestaurantImpossible https://t.co/x4Jq0sEnh4,RT : Two weeks until the season 16 premiere of  on  #RestaurantImpossible 
108,1205216120917184513,"The latest episode of the #SpheraNOW podcast is all about the fall/winter 2019 edition of Sphera’s Spark magazine. Learn about the IRM 4.0 cover story, the @RobertIrvine interview and much more: https://t.co/IBNswM5lvO

#SparksAreFlying #SpheraLitterChallenge #riskmanagement https://t.co/wcasi1qzXb","The latest episode of the #SpheraNOW podcast is all about the fall/winter 2019 edition of Sphera’s Spark magazine. Learn about the IRM 4.0 cover story, the  interview and much more: 

#SparksAreFlying #SpheraLitterChallenge #riskmanagement "
109,1205216771902525440,RT @SpheraSolutions: The latest episode of the #SpheraNOW podcast is all about the fall/winter 2019 edition of Sphera’s Spark magazine. Lea…,RT : The latest episode of the #SpheraNOW podcast is all about the fall/winter 2019 edition of Sphera’s Spark magazine. Lea…
110,1205233652101197830,RT @RobertIrvine: Two weeks until the season 16 premiere of @Rest_Imposs on @FoodNetwork #RestaurantImpossible https://t.co/x4Jq0sEnh4,RT : Two weeks until the season 16 premiere of  on  #RestaurantImpossible 
111,1205271916849901573,RT @RobertIrvine: Two weeks until the season 16 premiere of @Rest_Imposs on @FoodNetwork #RestaurantImpossible https://t.co/x4Jq0sEnh4,RT : Two weeks until the season 16 premiere of  on  #RestaurantImpossible 
112,1205275369877602310,@RobertIrvine I’m making this for dinner this week! Yum!, I’m making this for dinner this week! Yum!
113,1205277438416216065,Making progress @RobertIrvine https://t.co/KT88eDFcRz,Making progress  
114,1205286113109315584,@RobertIrvine @Rest_Imposs @FoodNetwork I can’t wait for .. @Rest_Imposs season 16 it’s gunner be fantastic seeing @RobertIrvine wave his magic and change life’s.,   I can’t wait for ..  season 16 it’s gunner be fantastic seeing  wave his magic and change life’s.
115,1205299630453354498,I checked in at Bacchanal Buffet on #Yelp https://t.co/doxiwfjIXN,I checked in at Bacchanal Buffet on #Yelp 
116,1205301117946458113,RT @RobertIrvine: Here's a new halibut recipe to try! Let me know what you think. https://t.co/5GZnRXMwm8,RT : Here's a new halibut recipe to try! Let me know what you think. 
117,1205307229542473729,Watching @RobertIrvine get in the face of a guy who was disrespectful to his wife on @Rest_Imposs was so sexy. I ? seeing a REAL man stand up to a belittling POS!,Watching  get in the face of a guy who was disrespectful to his wife on  was so sexy. I ? seeing a REAL man stand up to a belittling POS!
118,1205313716096393216,"RT @RobertIrvine: If you want to know what sacrifice is talk to the Families of the Fallen,Gold Star Familes who have Given the ultimate fo…","RT : If you want to know what sacrifice is talk to the Families of the Fallen,Gold Star Familes who have Given the ultimate fo…"
119,1205327129656737793,Always a pressure going to @jinyaramenbar in Murray ? and of course getting the best service from David ?? https://t.co/1qrdbXu9Wm,Always a pressure going to  in Murray ? and of course getting the best service from David ?? 
120,1205328445044973568,RT @Esmi_laGuera: Always a pressure going to @jinyaramenbar in Murray ? and of course getting the best service from David ?? https://t.co/1…,RT : Always a pressure going to  in Murray ? and of course getting the best service from David ?? https://t.co/1…
121,1205336211969183745,RT @RobertIrvine: Two weeks until the season 16 premiere of @Rest_Imposs on @FoodNetwork #RestaurantImpossible https://t.co/x4Jq0sEnh4,RT : Two weeks until the season 16 premiere of  on  #RestaurantImpossible 
122,1205337159466655745,Why we love @RobertIrvine Because he always places his friends first and foremost! Thanks for always being there with us. @PMEHardTrox @justinleonard https://t.co/51kAk7l6bv,Why we love  Because he always places his friends first and foremost! Thanks for always being there with us.   
123,1205340303902887936,@getfitbill @RobertIrvine Get to the choppah!!!,  Get to the choppah!!!
124,1205341770155991040,@RobertIrvine Just for the Halibut..., Just for the Halibut...
125,1205380476153802754,RT @RobertIrvine: Two weeks until the season 16 premiere of @Rest_Imposs on @FoodNetwork #RestaurantImpossible https://t.co/x4Jq0sEnh4,RT : Two weeks until the season 16 premiere of  on  #RestaurantImpossible 
126,1205412415791222784,@moanikealaaa @kingkaui Girl it was SO BOMB! if you go to Vegas you have to eat at the bacchanal buffet at Caesar’s palace ?,  Girl it was SO BOMB! if you go to Vegas you have to eat at the bacchanal buffet at Caesar’s palace ?
127,1205418645125394432,@RobertIrvine @ShaneCash19 @gailkimITSME chef !....this may be because you left exercise and gym due to your busy schedule.,   chef !....this may be because you left exercise and gym due to your busy schedule.
128,1205459274203369473,RT @RobertIrvine: Wouldn’t be anywhere else on these couple of days. Amazing men who have given so much to Our Amazing Country. @PACOMSEL @…,RT : Wouldn’t be anywhere else on these couple of days. Amazing men who have given so much to Our Amazing Country.  @…
129,1205464283863232514,RT @RobertIrvine: Two weeks until the season 16 premiere of @Rest_Imposs on @FoodNetwork #RestaurantImpossible https://t.co/x4Jq0sEnh4,RT : Two weeks until the season 16 premiere of  on  #RestaurantImpossible 
130,1205464399592509440,RT @RobertIrvine: Well what an Amazing @Rest_Imposs Revist to Ft. Bragg and the “smoke Bomb grille “  such a Historic instillation for our…,RT : Well what an Amazing  Revist to Ft. Bragg and the “smoke Bomb grille “  such a Historic instillation for our…
131,1205465445026926595,"RT @RobertIrvine: Love it buddy , keep doing it ????????? https://t.co/ixe1ytZItO","RT : Love it buddy , keep doing it ????????? "
132,1205466150223503361,RT @RobertIrvine: Wouldn’t be anywhere else on these couple of days. Amazing men who have given so much to Our Amazing Country. @PACOMSEL @…,RT : Wouldn’t be anywhere else on these couple of days. Amazing men who have given so much to Our Amazing Country.  @…
